    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   13    6        53   60        0.15730         57.464         57.633            6.690            5.553         0.14142E+00    0.14142E+00    0
   13    6        60   67        0.13624         54.402         54.261            5.040            4.254         0.14142E+00    0.14142E+00    0
   13    9        32   36        0.28350         68.137         68.520            3.740            4.500         0.14142E+00    0.14142E+00    0
   13    9        36   40        0.64668         61.496         62.296            5.100            4.552         0.14142E+00    0.14142E+00    0
   13    9        40   44        0.58698         61.072         61.793            4.720            4.516         0.14142E+00    0.14142E+00    0
   13    9        44   48        1.85373         88.723         84.171            4.840            4.580         0.14142E+00    0.16856E+00    1
   13    9        34   38        0.32414         64.639         65.055            3.760            4.615         0.14142E+00    0.14142E+00    0
   13    9        46   50        1.54690         78.610         75.758            6.640            4.870         0.14142E+00    0.15469E+00    1
   13   11        20   22        0.15775         75.451         75.216            2.710            3.162         0.14142E+00    0.14142E+00    0
   13   11        22   24        0.41850         76.006         75.373            3.380            3.385         0.14142E+00    0.14142E+00    0
   13   11        24   26        0.19793         80.490         80.175            2.970            3.496         0.14142E+00    0.14142E+00    0
   13   11        26   28        0.05867         70.947         71.029            3.720            3.536         0.14142E+00    0.14142E+00    0
   13   11        28   30        0.20686         76.522         76.835            3.010            3.658         0.14142E+00    0.14142E+00    0
   13   11        30   32        0.49708         68.514         69.194            2.750            3.860         0.14142E+00    0.14142E+00    0
   13   11        32   34        0.65230         69.968         70.886            4.620            4.315         0.14142E+00    0.14142E+00    0
   13   11        34   36        0.70150         66.157         67.091            4.840            4.118         0.14142E+00    0.14142E+00    0
   13   12        19   20        0.28874         76.729         77.172            2.370            2.757         0.14142E+00    0.14142E+00    0
   13   12        20   21        0.09899         73.056         72.912            3.170            2.945         0.14142E+00    0.14142E+00    0
   13   12        21   22        0.23859         76.685         76.320            3.600            3.384         0.14142E+00    0.14142E+00    0
   14    7        43   50        1.69139         80.878         77.477            4.880            4.590         0.14142E+00    0.15938E+00    1
   14    7        64   71        0.23784         48.282         48.096            5.340            2.576         0.14142E+00    0.14142E+00    0
   14    7        45   52        1.62982         77.617         74.567            4.630            4.803         0.14142E+00    0.15685E+00    1
   14    7        59   66        0.22611         55.196         55.446            4.490            4.496         0.14142E+00    0.14142E+00    0
   14   10        33   37        0.41201         64.687         65.222            4.060            4.239         0.14142E+00    0.14142E+00    0
   14   10        37   41        0.55025         58.984         59.636            3.960            4.217         0.14142E+00    0.14142E+00    0
   14   10        41   45        0.54533         67.968         67.235            5.550            4.355         0.14142E+00    0.14142E+00    0
   14   10        45   49        1.78353         84.941         80.920            4.670            4.618         0.14142E+00    0.16490E+00    1
   14   10        35   39        0.56133         61.176         61.865            5.260            4.387         0.14142E+00    0.14142E+00    0
   14   10        39   43        0.55656         57.314         57.953            3.300            4.157         0.14142E+00    0.14142E+00    0
   14   10        43   47        1.64466         84.722         81.280            4.430            4.339         0.14142E+00    0.15882E+00    1
   14   10        47   51        1.42843         73.030         70.828            3.460            4.826         0.14142E+00    0.14646E+00    1
   14   12        21   23        0.36087         75.320         74.778            3.290            3.386         0.14142E+00    0.14142E+00    0
   14   12        23   25        0.49313         70.233         69.544            2.880            3.129         0.14142E+00    0.14142E+00    0
   14   12        25   27        0.20080         80.576         80.253            3.250            3.412         0.14142E+00    0.14142E+00    0
   14   12        27   29        0.18048         68.787         68.539            3.290            3.435         0.14142E+00    0.14142E+00    0
   14   12        29   31        0.27583         67.763         68.137            3.270            3.538         0.14142E+00    0.14142E+00    0
   14   12        31   33        0.56683         68.898         69.683            4.490            3.916         0.14142E+00    0.14142E+00    0
   14   12        33   35        0.30472         67.156         67.566            3.850            3.983         0.14142E+00    0.14142E+00    0
   14   12        35   37        0.71571         59.922         60.784            4.910            4.042         0.14142E+00    0.14142E+00    0
   14   13        15   16        0.07832         76.302         76.236            1.800            3.106         0.14142E+00    0.14142E+00    0
   14   13        16   17        1.28387         95.172         92.761            4.320            3.577         0.14142E+00    0.14142E+00    0
   14   13        19   20        0.18272         73.869         74.139            2.780            2.684         0.14142E+00    0.14142E+00    0
   14   13        20   21        0.14554         69.044         69.245            2.960            2.848         0.14142E+00    0.14142E+00    0
   14   13        21   22        0.33659         72.592         72.108            3.900            3.272         0.14142E+00    0.14142E+00    0
   14   13        22   23        0.33193         74.655         74.163            3.970            3.418         0.14142E+00    0.14142E+00    0
   15    8        44   51        1.60042         82.894         79.667            5.250            4.705         0.14142E+00    0.15751E+00    1
   15    8        51   58        0.10656         58.989         58.865            5.050            5.418         0.14142E+00    0.14142E+00    0
   15    8        58   65        0.33089         57.988         58.357            6.760            4.845         0.14142E+00    0.14142E+00    0
   15    8        65   72        0.46725         49.660         49.198            2.100            2.394         0.14142E+00    0.14142E+00    0
   15    8        46   53        1.36409         72.946         70.925            5.340            4.900         0.14142E+00    0.14355E+00    1
   15    8        53   60        0.28364         58.355         58.687            5.520            5.549         0.14142E+00    0.14142E+00    0
